版本 1.0.1 更新内容：
5c75ef0 2025-06-16 CrazySpottedDove 为鬼侍添加狂战士buff
0609a17 2025-06-16 CrazySpottedDove add description
4850640 2025-06-16 CrazySpottedDove 一些ui；添加damage_stab
a5a374d 2025-06-16 CrazySpottedDove 修复士兵解控问题
a20d677 2025-06-16 CrazySpottedDove 让秒杀抗性变成随血量增长的属性
ac81e7d 2025-06-16 CrazySpottedDove 修复难度补丁带来的敌人卡死问题
b80927a 2025-06-16 CrazySpottedDove 下调圣骑沉默时长，太超标了
e229b5e 2025-06-16 CrazySpottedDove 统一治疗移除debuff效果
111e905 2025-06-15 CrazySpottedDove 修复博林索敌问题
5a0ddbd 2025-06-15 CrazySpottedDove 添加运行脚本
6cde5cc 2025-06-15 CrazySpottedDove 保证动画效果正确
610f0b2 2025-06-15 CrazySpottedDove 为圣骑添加沉默，为圣殿添加解控
e7b69b1 2025-06-13 CrazySpottedDove 给狙击添加瞄准特效
c0aef09 2025-06-13 CrazySpottedDove 给奥法添加瓦解射线就绪特效
2cd6ab0 2025-06-13 CrazySpottedDove 修复了岩浆地板能烫飞行单位的问题
d21c734 2025-06-12 CrazySpottedDove 修复火龙怕火的问题
41c9bed 2025-06-12 CrazySpottedDove 修复一系列无法沉默亡语的问题
3bec8bf 2025-06-12 CrazySpottedDove 削弱矮人国支线第一关钢铁难度
b34a9ca 2025-06-12 CrazySpottedDove 削弱威尔伯升级速度
20491c2 2025-06-11 CrazySpottedDove 修复一键调集的虚空调集问题，取消lgbt杜拉斯
cfda5d1 2025-06-11 CrazySpottedDove 添加一键调集所有援军功能，快捷键为f
0f9c4a4 2025-06-10 CrazySpottedDove 调整援军速度成长
dccae0b 2025-06-10 CrazySpottedDove 修正英雄护甲机制
57c2bb2 2025-06-10 CrazySpottedDove bug fixed，现在援兵可以移动
5b01a03 2025-06-10 CrazySpottedDove 尝试允许操控援军
60c800c 2025-06-10 CrazySpottedDove 尝试取消杜拉斯克隆的透明化代码；为所有boss添加默认的50护甲韧性
60359ed 2025-06-09 CrazySpottedDove bug fix
59fa0a7 2025-06-09 CrazySpottedDove lgbt durax
8400307 2025-06-09 CrazySpottedDove 略微提升了大法搓出更多法球的概率
99ae0e8 2025-06-09 CrazySpottedDove 让林恩的减抗会被护甲韧性影响
d5fa00e 2025-06-09 CrazySpottedDove 让减抗mod会被护甲韧性影响
165b692 2025-06-09 CrazySpottedDove 增加黄法buff时间；为刺客和石头人添加秒杀抗性词条
a24b493 2025-06-09 CrazySpottedDove 平衡性调整，降低伤害较低的法球的减抗能力，避免某些高频攻击减抗过快
aec3685 2025-06-09 CrazySpottedDove 修正大法索敌，并让大法鞭尸时临界质量依然发力
5cc0c5a 2025-06-09 CrazySpottedDove 修改了高冷的buff特效
29759b9 2025-06-08 CrazySpottedDove 添加高冷buff预览
3fe7d76 2025-06-08 CrazySpottedDove 修复乌鸦卡死的问题
07e1377 2025-06-08 CrazySpottedDove bug fix
89e1647 2025-06-08 CrazySpottedDove 统一了tower_damage_factor_buff的表现，现在可以增幅所有的塔；高冷大改
